Part Name,Description,Quantity
"021-355-0 TIRE 11.00-12 10PLY 160 mph, 10 Ply",,1
M20101-01 TYRE MAIN,,1
M01103-02 TIRE – MAIN,"Part Number: M01103-02Description: 46x17.0R20 30PR 225mph Radial TL Michelin Air…",1
"114079019 VALVE, LANDING GEAR SELECTOR","Part Number: 114079019Description: ELECTRO-HIDRAULIC SELECTORS",1
89794077 – CYLINDER & VALVE ASSY,"Part Number: 89794077Description: PORTABLE OXYGEN CYLINDER AND VALVE ASSEMBLY",1
887477 HYDRAULIC PUMP,"Part Number: 887477Description: AC MOTOR PUMP-HYDRAULIC",1
560A0000-02 – COMMAND SENSOR,"Part Number: 560A0000-02Description: SNSRUNIT SENSOR UNIT-COMMAND",1
D24001000 – VALVE CONTROL PARKING PRESSURE LIMITER,"Part Number: D24001000Description: VALVE CONTROL PARKING PRESSURE LIMITER",1
14320-030 – DRAIN VALVE ASSEMBLY,"Part Number: 14320-030Description: WASTE DRAIN VALVE",1
30-1951-1 – ANTI-COLLISION LIGHT,"Part Number: 30-1951-1Description: AIRCRAFT NAVIGATION ANTI-COLLISION STROBE LIGHT",1
3289614-3 – VALVE ANTI-ICE,"Part Number: 3289614-3Description: VALVE ANTI ICE SHUTOFF",1
930-2000-001 – TRANSCEIVER WEATHER RADAR,"Part Number: 930-2000-001Description: RECEIVER-TRANSMITTER,RADAR",1
1159SCL404-5 – BRAKE ASSEMBLY,"Brake Assembly, Overhauled, Dunlop AHA2070, (Sold Exchange) (Call or Email…",1
338-067-014-0 – FAN OUTLET GUIDE VANE,"Part Number: 338-067-014-0Description: VANE-OUTLET GUIDE DOUBLET",1
D0001037600000 – FLEXIBLE HYDRAULIC HOSE,"Part Number: D0001037600000Description: FLEXIBLE HYDRAULIC HOSE",1
E21330000-1 – BRAKE SERVOVALVE,"Part Number: E21330000-1Description: VALVE, DIRECT DRIVE BRAKE",1
L95F50-603 – OVERPRESSURE PROTECTOR,"Part Number: L95F50-603Description: PROTECTR-TANK OVERPRESSURE",1
0108900-01 RESTRAINT SYSTEM,"Part Number: 0108900-01Description: RESTRAINT SYSTEM",1
3876131-1 IGNITER PLUG,"Part Number: 3876131-1Description: IGNITER PLUG",1
40-622567-002  PRIMARY ACCESS TERMINAL,"Part Number: 40-622567-002Description: PRIMARY ACCESS TERMINAL",1
04P23-12 SOLENOID – BLEED VALVE,"Part Number: 04P23-12Description: SOLENOID - 2.9 3-WAY BLEED VALVE",1
3888058-7 EXCITER-IGNITION,"Part Number: 3888058-7Description: EXCITER-IGNITION, AUXILIARY POWER UNIT",1
"1603-02-12 – RECORDER, COCKPIT VOICE, CVR-120","Part Number: 1603-02-12Description: RECORDER, COCKPIT VOICE, CVR-120",1
4005-1-011-9006 RESTRAINT SYSTEM ASSY,"Part Number: 4005-1-011-9006Description: RESTRAINT, SEAT BELT",1
GA62923 PIPE ASSY,"Part Number: GA62923Description: PIPE ASSY",1
D126111-504 PASSENGER SERVICE UNIT,"Part Number: D126111-504Description: PSU, LONG LOUD SPEAKER (RH)",1
7439FT972 SEAL-T RING,"Part Number: 7439FT972Description: SEAL ASSEMBLY AGT RING",1
"9527106-501 BOX, RELAY","Part Number: 9527106-501Description: RELAY BOX ASSY(COCKPIT DOOR)",1
